source,target
artificial and natural coloring,soy sauce
artificial and natural coloring,soybean
artificial and natural coloring,spices
artificial and natural coloring,starch
artificial and natural coloring,sucralose
artificial and natural coloring,sugar
artificial and natural coloring,thiamine
artificial and natural coloring,titanium dioxide
artificial and natural coloring,tocopherols
artificial and natural coloring,tomato paste
artificial and natural coloring,tricalcium phosphate
artificial and natural coloring,turmeric
artificial and natural coloring,vanilla
artificial and natural coloring,vegetable oil
artificial and natural coloring,vegetable oils
artificial and natural coloring,vinegar
artificial and natural coloring,vitamins
artificial and natural coloring,water
artificial and natural coloring,wheat flour
artificial and natural coloring,wheat gluten
artificial and natural coloring,whey
artificial and natural coloring,xanthan gum
artificial and natural coloring,yeast
artificial and natural coloring,zinc oxide
artificial and natural flavors,artificial and natural flavors
artificial and natural flavors,ascorbic acid
artificial and natural flavors,aspartame
artificial and natural flavors,baking powder
artificial and natural flavors,baking soda
artificial and natural flavors,beef
artificial and natural flavors,beta carotene
artificial and natural flavors,bht
artificial and natural flavors,black pepper
artificial and natural flavors,butter
artificial and natural flavors,butter milk
artificial and natural flavors,caffeine
artificial and natural flavors,calcium carbonate
artificial and natural flavors,calcium chloride
artificial and natural flavors,calcium disodium edta
artificial and natural flavors,calcium phosphate
artificial and natural flavors,calcium propionate
artificial and natural flavors,calcium sulfate
artificial and natural flavors,carnauba wax
artificial and natural flavors,carrageenan
artificial and natural flavors,carrots
artificial and natural flavors,celery
artificial and natural flavors,cellulose gum
artificial and natural flavors,cheddar cheese
artificial and natural flavors,chicken
artificial and natural flavors,chocolate
artificial and natural flavors,citric acid
artificial and natural flavors,cocoa
artificial and natural flavors,coconut
artificial and natural flavors,corn syrup
artificial and natural flavors,cream
artificial and natural flavors,datem
artificial and natural flavors,dextrose
artificial and natural flavors,diglycerides
artificial and natural flavors,disodium guanylate
artificial and natural flavors,disodium inosinate
artificial and natural flavors,dough conditioners
artificial and natural flavors,eggs
artificial and natural flavors,flour
artificial and natural flavors,folic acid
artificial and natural flavors,fructose
artificial and natural flavors,garlic
artificial and natural flavors,gelatin
artificial and natural flavors,glycerin
artificial and natural flavors,guar gum
artificial and natural flavors,gum arabic
artificial and natural flavors,honey
artificial and natural flavors,hydrolyzed corn protein
artificial and natural flavors,hydrolyzed soy protein
artificial and natural flavors,lactic acid
artificial and natural flavors,lactose
artificial and natural flavors,leavening
artificial and natural flavors,lemon juice concentrate
artificial and natural flavors,malic acid
artificial and natural flavors,maltodextrin
artificial and natural flavors,milk
artificial and natural flavors,molasses
artificial and natural flavors,mono diglycerides
artificial and natural flavors,monosodium glutamate
artificial and natural flavors,onion
artificial and natural flavors,paprika
artificial and natural flavors,parmesan cheese
artificial and natural flavors,parsley
artificial and natural flavors,peanut butter
artificial and natural flavors,peanuts
artificial and natural flavors,pecans
artificial and natural flavors,pectin
artificial and natural flavors,pepper
artificial and natural flavors,phosphoric acid
artificial and natural flavors,polysorbate
artificial and natural flavors,potassium chloride
artificial and natural flavors,potassium citrate
artificial and natural flavors,potassium sorbate
artificial and natural flavors,potatoes
artificial and natural flavors,pyridoxine hydrochloride
artificial and natural flavors,raisins
artificial and natural flavors,reduced iron
artificial and natural flavors,riboflavin
artificial and natural flavors,rice flour
artificial and natural flavors,salt
artificial and natural flavors,seasoning
artificial and natural flavors,silicon dioxide
artificial and natural flavors,sodium acetate
artificial and natural flavors,sodium ascorbate
artificial and natural flavors,sodium benzoate
artificial and natural flavors,sodium caseinate
artificial and natural flavors,sodium citrate
artificial and natural flavors,sodium nitrite
artificial and natural flavors,sodium phosphates
artificial and natural flavors,sodium propionate
artificial and natural flavors,sodium stearoyl lactylate
artificial and natural flavors,sorbic acid
artificial and natural flavors,sorbitol
artificial and natural flavors,soy flour
artificial and natural flavors,soy lecithin
artificial and natural flavors,soy sauce
artificial and natural flavors,soybean
artificial and natural flavors,spices
artificial and natural flavors,starch
artificial and natural flavors,sucralose
artificial and natural flavors,sugar
artificial and natural flavors,thiamine
artificial and natural flavors,titanium dioxide
artificial and natural flavors,tocopherols
artificial and natural flavors,tomato paste
artificial and natural flavors,tomato powder
artificial and natural flavors,tomatoes
artificial and natural flavors,tricalcium phosphate
artificial and natural flavors,turmeric
artificial and natural flavors,vegetable oil
artificial and natural flavors,vegetable oils
artificial and natural flavors,vinegar
artificial and natural flavors,vitamins
artificial and natural flavors,water
artificial and natural flavors,wheat flour
artificial and natural flavors,wheat gluten
artificial and natural flavors,whey
artificial and natural flavors,xanthan gum
artificial and natural flavors,yeast
artificial and natural flavors,zinc oxide
